"Source Name",URL,"Date Accessed","Referrer URL",Title,"Program Name",Domain,"Data Source"
places.sqlite,"https://www.mozilla.org/en-US/privacy/firefox/","2024-08-01 00:15:57 CEST","https://www.mozilla.org/privacy/firefox/","Firefox Privacy Notice — Mozilla","FireFox Analyzer",mozilla.org,debian-disk001.vmdk
places.sqlite,"https://www.google.com/search?client=firefox-b-e&q=git","2024-08-01 00:16:18 CEST",,"git - Cerca con Google","FireFox Analyzer",google.com,debian-disk001.vmdk
places.sqlite,"https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.com%2Fsearch%3Fclient%3Dfirefox-b-e%26q%3Dgit&gae=cb-none&hl=it&ifkv=AdF4I77ShrSJLUMq9fdX1PlRs5kI4hY-Sag85dSZtekT-O-7DcYkhI-4m6zaIkQ6ictigcVsXmI-xA&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S-1979033384%3A1722505970641288&ddm=0","2024-08-01 00:16:22 CEST","https://accounts.google.com/InteractiveLogin?continue=https://www.google.com/search?client%3Dfirefox-b-e%26q%3Dgit&gae=cb-none&hl=it&ifkv=AdF4I757o58y7CvsYHlAp5Xe7xXBP710ViaojpFFV1GfHVC0pTCw9ujOLMSzTl4LEd_vCWL-3eieAQ","Accedi - Account Google","FireFox Analyzer",google.com,debian-disk001.vmdk
places.sqlite,"https://git-scm.com/downloads","2024-08-01 00:16:32 CEST","https://www.google.com/search?client=firefox-b-e&q=git","Git - Downloads","FireFox Analyzer",git-scm.com,debian-disk001.vmdk
places.sqlite,"https://git-scm.com/download/linux","2024-08-01 00:16:37 CEST","https://git-scm.com/downloads",Git,"FireFox Analyzer",git-scm.com,debian-disk001.vmdk
places.sqlite,"https://www.google.com/search?client=firefox-b-e&q=xammp","2024-09-28 22:51:04 CEST",,"xammp - Buscar con Google","FireFox Analyzer",google.com,debian-disk001.vmdk
places.sqlite,"https://www.apachefriends.org/es/download.html","2024-09-28 22:51:13 CEST","https://www.google.com/search?client=firefox-b-e&q=xammp","Download XAMPP","FireFox Analyzer",apachefriends.org,debian-disk001.vmdk
places.sqlite,"https://www.apachefriends.org/es/download_success.html","2024-09-28 22:52:27 CEST","https://www.apachefriends.org/es/download.html","XAMPP Download Success","FireFox Analyzer",apachefriends.org,debian-disk001.vmdk
places.sqlite,"https://sourceforge.net/projects/xampp/files/XAMPP%20Mac%20OS%20X/8.0.28/xampp-osx-8.0.28-0-installer.dmg/download","2024-09-28 22:52:31 CEST","https://sourceforge.net/projects/xampp/files/XAMPP%20Mac%20OS%20X/8.0.28/xampp-osx-8.0.28-0-installer.dmg/","Download xampp-osx-8.0.28-0-installer.dmg (XAMPP)","FireFox Analyzer",sourceforge.net,debian-disk001.vmdk
places.sqlite,"https://sitsa.dl.sourceforge.net/project/xampp/XAMPP%20Mac%20OS%20X/8.0.28/xampp-osx-8.0.28-0-installer.dmg?viasf=1","2024-09-28 22:52:48 CEST","https://sourceforge.net/projects/xampp/files/XAMPP%20Mac%20OS%20X/8.0.28/xampp-osx-8.0.28-0-installer.dmg/download","xampp-osx-8.0.28-0-installer.dmg","FireFox Analyzer",sourceforge.net,debian-disk001.vmdk
places.sqlite,"https://sourceforge.net/projects/xampp/postdownload","2024-09-28 22:52:58 CEST","https://sourceforge.net/projects/xampp/files/XAMPP%20Mac%20OS%20X/8.0.28/xampp-osx-8.0.28-0-installer.dmg/download","Find out more about XAMPP | SourceForge.net","FireFox Analyzer",sourceforge.net,debian-disk001.vmdk
places.sqlite,"https://sourceforge.net/projects/xampp/","2024-09-28 22:53:16 CEST","https://sourceforge.net/projects/xampp/postdownload","XAMPP download | SourceForge.net","FireFox Analyzer",sourceforge.net,debian-disk001.vmdk
places.sqlite,http://localhost/,"2024-09-30 18:07:19 CEST",,"Apache2 Debian Default Page: It works","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,"http://localhost/wordpress","2024-09-30 18:07:29 CEST",,"404 Not Found","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,"http://localhost/wordpress","2024-09-30 18:07:33 CEST",,"404 Not Found","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,"http://localhost/wp-admin/","2024-09-30 18:08:47 CEST","http://localhost/wp-admin","Dashboard ‹ my web site — WordPress","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,"http://localhost/wp-admin/","2024-09-30 18:09:07 CEST",,"Dashboard ‹ my web site — WordPress","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,"http://localhost/wp-admin/","2024-09-30 18:09:30 CEST","http://localhost/wp-admin","Dashboard ‹ my web site — WordPress","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,"http://localhost/wp-admin/","2024-09-30 18:20:09 CEST","http://localhost/wp-admin/","Dashboard ‹ my web site — WordPress","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,"http://localhost/wp-admin/install.php","2024-09-30 18:20:15 CEST",,"WordPress › Installation","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,"http://localhost/wp-login.php","2024-09-30 18:23:27 CEST",,"Log In ‹ my web site — WordPress","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,"http://localhost/wp-admin/","2024-09-30 18:23:45 CEST","http://localhost/wp-login.php","Dashboard ‹ my web site — WordPress","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,"http://localhost/wp-admin/","2024-09-30 21:16:42 CEST",,"Dashboard ‹ my web site — WordPress","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,http://localhost/,"2024-09-30 21:17:14 CEST",,"Apache2 Debian Default Page: It works","FireFox Analyzer",,debian-disk001.vmdk
places.sqlite,"https://www.google.com/search?client=firefox-b-e&q=gmail","2024-09-30 21:33:46 CEST",,"gmail - Buscar con Google","FireFox Analyzer",google.com,debian-disk001.vmdk
places.sqlite,"https://www.google.com/intl/es-419/gmail/about/","2024-09-30 21:33:50 CEST","https://www.google.com/search?client=firefox-b-e&q=gmail","Gmail: Correo electrónico gratuito, privado y seguro | Google Workspace","FireFox Analyzer",google.com,debian-disk001.vmdk
places.sqlite,"https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&ifkv=ARpgrqd9EAz40YlqekwnNslpPmhosmT5pAXITvAzbX4OsPbeEY0nPEnVmxLET_2ekOGBxw3j2CU&rip=1&sacu=1&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S436578633%3A1728417693999175&ddm=1","2024-09-30 21:33:59 CEST","https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/&rip=1&sacu=1&service=mail&ifkv=ARpgrqf5M5Fs_6UVJ1HAWBB3hUWFUzpQWSABETqGmJ-tlvalQ6nnxdgr8Vo6cG_GuTkqKA-hq9U3wA",Gmail,"FireFox Analyzer",google.com,debian-disk001.vmdk
places.sqlite,"https://accounts.google.com/v3/signin/challenge/pwd?TL=APps6ebqG5ugNjXMhVLEawLvR3zzwzjtmHEUeT4-_vM5ndC3A1mHEcaUDpdvubtF&checkConnection=youtube%3A552&checkedDomains=youtube&cid=2&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&ddm=1&dsh=S436578633%3A1728417693999175&flowEntry=ServiceLogin&flowName=GlifWebSignIn&ifkv=ARpgrqd9EAz40YlqekwnNslpPmhosmT5pAXITvAzbX4OsPbeEY0nPEnVmxLET_2ekOGBxw3j2CU&pstMsg=1&rip=1&service=mail","2024-09-30 21:34:17 CEST","https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&ifkv=ARpgrqd9EAz40YlqekwnNslpPmhosmT5pAXITvAzbX4OsPbeEY0nPEnVmxLET_2ekOGBxw3j2CU&rip=1&sacu=1&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S436578633%3A1728417693999175&ddm=1",Gmail,"FireFox Analyzer",google.com,debian-disk001.vmdk
places.sqlite,"https://accounts.google.com/v3/signin/challenge/dp?TL=APps6ebqG5ugNjXMhVLEawLvR3zzwzjtmHEUeT4-_vM5ndC3A1mHEcaUDpdvubtF&checkConnection=youtube%3A552&checkedDomains=youtube&cid=10&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&ddm=1&dsh=S436578633%3A1728417693999175&flowEntry=ServiceLogin&flowName=GlifWebSignIn&ifkv=ARpgrqd9EAz40YlqekwnNslpPmhosmT5pAXITvAzbX4OsPbeEY0nPEnVmxLET_2ekOGBxw3j2CU&pstMsg=1&rip=1&service=mail","2024-09-30 21:34:26 CEST","https://accounts.google.com/v3/signin/challenge/pwd?TL=APps6ebqG5ugNjXMhVLEawLvR3zzwzjtmHEUeT4-_vM5ndC3A1mHEcaUDpdvubtF&checkConnection=youtube%3A552&checkedDomains=youtube&cid=2&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&ddm=1&dsh=S436578633%3A1728417693999175&flowEntry=ServiceLogin&flowName=GlifWebSignIn&ifkv=ARpgrqd9EAz40YlqekwnNslpPmhosmT5pAXITvAzbX4OsPbeEY0nPEnVmxLET_2ekOGBxw3j2CU&pstMsg=1&rip=1&service=mail",Gmail,"FireFox Analyzer",google.com,debian-disk001.vmdk
places.sqlite,"https://mail.google.com/mail/u/0/","2024-09-30 21:34:38 CEST","https://mail.google.com/mail/",,"FireFox Analyzer",google.com,debian-disk001.vmdk
